Title,Year,Directors
BHUKAILASA,1958,K. SHANKAR
BHUKAILASA,1958,K. SHANKAR
BHULOKA RAMBHA,1958,YOGANAND
BHUMIKA,1977,SHYAM BENEGAL
BHUTAN,1971,PRAMOD PATI
BHUVAN SHOME,1969,MRINAL SEN
BICHARAK,1959,PRABHAT MUKHERJEE
BIDYAPATI,1937,DEBAKI BOSE
BIPLABI KSHUDIRAM,1951,HIRONMOY SEN
BISARJAN,1974,BIRESWAR BOSE
BISWA PRAKASH / THE YOUNG REBEL,1999,SUSANT MISHRA
BLACK DIAMONDS,1943,KRISHNA GOPAL
BLOMBA SARDAR,1983,NRIPEN GANGULI
BOBBY,1973,RAJ KAPOOR
BODHU,1962,BHUPEN ROY
BOMBAY OUR CITY / HAMARA SHAHAR,1985,ANAND PATWARDHAN
BOOT POLISH,1954,PRAKASH ARORA
BOTTELED CANNIBALS,1978,"V.G. SAMANT, S. PAVALLEGS"
BRAHMACHARI,1938,MASTER VINAYAK
BREATHLESS,1999,SANJAY T. SAHARE
BRICK LAYING,1922,D.G. PHALKE
"BROWN DIAMOND, THE",1967,S. KRISHNASWAMY
BUB,2001,JYOTI SARUP
BUDDHIMAN BALWAN,1940,K.S. MANI
BURMA RANI,1944,T.R. SUNDARAM
BURNING TRAIN,1980,RAVI CHOPRA
BUZDIL,1951,SHAHEED LATIF
C.I.D.,1955,M. KRISHNAN NAIR
CALCUTTA ' 71,1972,MRINAL SEN
CANNANORE DELUXE,1969,A.B. RAJ
CARNIVAL QUEEN,1955,NOSHIR ENGINEER
CARVAN,1971,NASIR HUSSAIN
CATECHIST OF KIL-ARNI,1930,RAGHUPATHY PRAKASH
CAUTION,1998,SAVINDAR SOWHNEY
CENTURY OF CINEMA / AND THE SHOW GOES ON,1996,MRINAL SEN
CHAANI,1977,V. SHANTARAM
CHAAYAM,2003,BIJU C. KANNAN
CHACHA ZINDABAD,1959,OM PRAKASH
CHAKORI,1949,RAM NARAYAN DUBE
CHAKORI / SHART,1992,SUMITRA BHAVE & SUNIL SUKHATANKAR
CHAKRA,1980,RABINDRA DHARMARAJ
CHAKRA THEERTHA,1967,P. SHIVARAM
CHAKRADHARI,1954,RAMAN B. DESAI
CHALA MURARI HERO BAN-NE,1977,ASRANI
CHAMELI MEMSAHIB,1978,INDERSEN
CHAND SAUDAGAR,1934,PRAFULLA ROY
CHANDA AUR BIJLE,1969,ATMARAM
CHANDAVALLIYA TOTA,1964,T.V. SINGH THAKORE
CHANDI RANI,1953,P. BHANUMATI
CHANDIDAS,1932,DEBAKI BOSE
CHANDRALEKHA,1948,S.S. VASAN
CHANDRALEKHA,1948,S.S. VASAN
CHANDRALEKHA(SV),1948,S.S. VASAN
CHANDRASENA,1935,V. SHANTARAM
CHANGING FACE OF INDIA,1942,EZRA MIR & BHASKAR RAO
CHANN PARDESI,1980,CHITRARATH SINGH
CHAPPA,1982,P.A. BACKER
CHAR ADHYAY,1997,KUMAR SHAHANI
